"id","name","category","tevila","brocha","notes","debates","tags","image_url"
"toaster","Toaster","electric","yes","yes","Requires tevila with a brocha. The Teflon-coated rack that contacts food must be immersed.","Rav Moshe Feinstein (Igros Moshe YD 3:24) held a toaster is exempt because bread is already edible before entering, making it a question whether it qualifies as a keili seudah. CRC (Rav Schwartz) rules electrical appliances that would be ruined by immersion are exempt. STAR-K rules tevila without a brocha for Teflon-coated surfaces. Many poskim disagree with Rav Moshe and require tevila with a brocha.","toast, bread, electric",""
"toaster-oven","Toaster Oven","electric","yes","yes","The rack and tray require tevila with a brocha if food is placed directly on them. The heating element and chamber do not require tevila. If it will break from immersion, ask a Rav.","","toast, oven, electric, bake",""
"blender-mixer","Blender / Mixer","electric","yes","yes","Required even if the cup or bowl is made from an exempt material, because of the metal blades attached to the bottom. Motor/base does not require tevila. For a stand mixer, the brocha may depend on use: with a brocha if used for ready-to-eat food; without a brocha if only for raw dough.","Halachipedia: A mixer used only to mix foods not ready to eat immediately should be immersed without a brocha.","blend, mix, smoothie, electric",""
"immersion-blender","Immersion Blender (hand blender)","electric","yes","yes","Metal blades and attachments require tevila with a brocha. Motor handle does not.","","blend, stick blender, hand blender, electric",""
"food-processor","Food Processor","electric","yes","varies","Metal blades and glass/metal bowl require tevila. If used only to process foods that are not yet edible (e.g., raw dough), tevila without a brocha. If also used with ready-to-eat foods (e.g., fruits, vegetables), tevila with a brocha.","CRC marks food processor as tevila required, brocha depends on usage: with a brocha if sometimes used with meal-ready food, without a brocha if only for raw food.","processor, chop, electric",""
"coffee-maker","Coffee Maker (electric, e.g., Mr. Coffee)","electric","varies","varies","Requires tevila if it can withstand immersion. Glass carafe requires tevila with a brocha. If the machine will break from immersion, consult a Rav about alternatives (gift/borrow, or Jewish technician disassembly).","STAR-K: Does not require tevila if it will break if toveled, otherwise requires tevila with a brocha. Kashrut.com: Electric coffee makers (e.g., Mr. Coffee) require tevilah. CRC (Rav Schwartz): Electrical appliances that might be ruined are exempt.","coffee, electric, drip",""
"keurig","Keurig / Pod Machine","electric","varies","varies","According to many poskim, a Keurig does not require tevila because the water passes through a sealed K-Cup and does not contact the metal parts in a way that constitutes a keili seudah. It is preferable to sell to a non-Jew and borrow back.","Halachipedia: According to many poskim does not require tevila. STAR-K: Does not require tevila if it will break; otherwise with a brocha. Preferably sell to a non-Jew and borrow back to avoid the issue.","keurig, k-cup, coffee, pod, electric",""
"urn-metal","Hot Water Urn (metal, electric)","electric","yes","yes","A metal hot water urn requires tevila with a brocha. After immersion, let the appliance dry thoroughly for at least 48 hours before use. Some recommend using a blow-dryer to speed drying.","STAR-K and most poskim require full immersion with a brocha. CRC (Rav Schwartz) rules electrical appliances that might be ruined are exempt. Halachipedia: If impossible to tovel, one may give it to a non-Jew as a gift on condition that he lend it back.","urn, hot water, electric, shabbos",""
"crockpot","Crockpot / Slow Cooker","electric","varies","varies","Metal or glass insert → tevila with a brocha. Ceramic insert → tevila without a brocha. Glass lid → tevila with a brocha. Outer shell/base → no tevila.","","crock, slow cooker, electric",""
"george-foreman","George Foreman Grill / Electric Grill","electric","yes","no","Tevila without a brocha (Teflon-coated metal surfaces). If toveling will break it, consult a Rav.","","grill, electric, foreman",""
"sandwich-maker","Sandwich Maker / Panini Press","electric","varies","varies","Metal plates that contact food require tevila. Coated surfaces → without a brocha.","STAR-K: Tevila without a brocha (Teflon-coated). CRC: No tevila/no brocha (classified as electrical appliance that may be ruined). Other poskim require tevila.","sandwich, panini, press, electric",""
"waffle-maker","Waffle Maker","electric","yes","no","Tevila without a brocha because the metal cooking surfaces are Teflon-coated. If toveling will break it, consult a Rav.","","waffle, electric",""
"air-fryer","Air Fryer","electric","yes","varies","The metal basket that holds the food requires tevila (with a brocha if uncoated metal, without if coated). The outer housing is debated — some compare it to a pot cover since steam touches it; others say it's not direct food contact.","AskHalacha.com: The metal basket needs tevila since food goes directly in it. The outer box is more complicated — one can argue it's like a pot cover (requires tevila) or that it doesn't aid cooking directly. Consult a Rav.","air fryer, fry, electric",""
"instant-pot","Instant Pot / Electric Pressure Cooker","electric","yes","yes","The metal inner pot requires tevila with a brocha. The lid (metal with silicone ring) requires tevila with a brocha since steam contacts it. The electric base does not require tevila.","","instant pot, pressure cooker, electric",""
"rice-cooker-pot","Rice Cooker (metal insert)","electric","yes","yes","The metal insert requires tevila with a brocha. If coated with Teflon/non-stick, tevila without a brocha. Electric base does not require tevila.","","rice, cooker, electric",""
"popcorn-maker","Popcorn Maker (metal)","electric","yes","yes","Tevila with a brocha. If toveling will break it, consult a Rav.","","popcorn, electric",""
"electric-knife","Electric Knife","electric","yes","yes","The metal blade requires tevila with a brocha. The motor handle does not.","","knife, electric, carve",""
"hot-plate","Hot Plate / Platta","electric","no","no","Food does not contact the surface directly (pots are placed on it). No tevila required.","","hot plate, platta, shabbos, electric",""
"warming-tray","Warming Tray","electric","no","no","Food does not contact the surface directly. No tevila required.","","warming, tray, shabbos, electric",""
"immersion-heater","Immersion Heater","electric","no","no","Does not have direct food contact in the normal sense. No tevila.","Chelkas Yaakov 1:126 and 2:61 relies on the approach that plug-in items are 'attached to the ground' for immersion heaters specifically, though not for electric pots.","heater, electric, water",""
"microwave-turntable","Microwave Turntable (glass)","electric","yes","varies","If food is placed directly on the turntable → tevila with a brocha. If food is always in a container and never touches the turntable directly → tevila without a brocha.","STAR-K: Tevila without a brocha; with a brocha if food is placed directly on the turntable. Some poskim hold that since it's common to place food directly on it, one should tovel with a brocha.","microwave, turntable, glass, electric",""
"water-cooler","Water Cooler / Dispenser","electric","varies","varies","If completely plastic except for internal metal cooling pipes, debated whether tevila is required. If the metal pipe contacts the water that is dispensed for drinking, many require tevila without a brocha. Consult a Rav.","","water, cooler, dispenser, electric",""
"pot-metal-glass","Pot (metal or glass)","cooking","yes","varies","Uncoated metal or glass → tevila with a brocha. Teflon/enamel-coated metal → tevila without a brocha.","","pot, cook",""
"pot-cover","Pot Cover / Lid (metal or glass)","cooking","yes","yes","Requires tevila because steam rises and contacts the lid — this is considered direct food contact. Removable lids can be immersed separately.","","lid, cover, pot",""
"frying-pan","Frying Pan (metal)","cooking","yes","varies","Uncoated metal → tevila with a brocha. Teflon/non-stick coated → tevila without a brocha.","","pan, fry, skillet",""
"teflon-pan","Teflon-coated Pan","cooking","yes","no","Tevila without a brocha. The Teflon coating on the metal changes the brocha status.","","teflon, non-stick, pan, fry",""
"cast-iron-pot","Cast Iron Pot / Skillet","cooking","yes","yes","","","cast iron, pot, skillet",""
"baking-sheet","Baking / Cookie Sheet (metal)","cooking","yes","yes","","","baking, cookie, sheet, tray",""
"roasting-pan","Roasting Pan (metal)","cooking","yes","yes","","","roast, pan",""
"cupcake-muffin-pan","Cupcake / Muffin Pan (metal)","cooking","yes","yes","","","cupcake, muffin, bake, pan",""
"pyrex","Pyrex Cookware","cooking","yes","yes","Pyrex is halachically classified as glass. Tevila with a brocha.","","pyrex, glass, bake",""
"corningware","CorningWare","cooking","yes","no","Comprised mainly of glass/ceramic. Tevila without a brocha.","","corningware, corning, bake",""
"pressure-cooker-pot","Pressure Cooker Pot (stovetop, metal)","cooking","yes","yes","","","pressure, cooker, pot",""
"barbeque-grill","Barbeque Grill (grates/racks)","cooking","yes","yes","Racks/grates that contact food directly → tevila with a brocha. Other components (cover, body, wheels) → no tevila. Food-handling tools (tongs, spatula) → tevila with a brocha.","","bbq, grill, barbeque, rack",""
"chafing-dish","Chafing Dish","cooking","varies","varies","Food pan → tevila with a brocha. Cover → tevila with a brocha (steam rises to cover — considered food contact). Water pan → no tevila (no direct food contact).","","chafing, catering, warming",""
"colander-metal","Colander / Strainer (metal)","cooking","yes","yes","Used with cooked food that is ready to eat. Plastic colander → no tevila.","","colander, strainer, drain",""
"cooling-rack-metal","Cooling Rack (metal)","cooking","yes","no","Tevila without a brocha.","STAR-K: Tevila without a brocha. Your original data had 'no tevila' which appears to be incorrect based on the STAR-K chart. The food is already baked (ready to eat) when placed on the rack.","cooling, rack, bake",""
"blech","Blech","cooking","no","no","Food does not contact the blech surface directly (pots sit on it).","","blech, shabbos",""
"aluminum-tray-disposable","Aluminum Tray (disposable)","cooking","varies","varies","Standard disposable aluminum pans designed for one-time use do not require tevila since they are not considered permanent keilim.","Rav Moshe Feinstein (Igros Moshe YD 3:23): Disposable pans that don't last are not keilim and are exempt. STAR-K: Without a brocha if intended for one-time use; with a brocha if intended for multiple uses. CRC: No tevila regardless of how many times used. Mishneh Halachos 7:111 argues aluminum pans are obligated since they could be reused. Thicker/sturdier trays may have a stricter status.","aluminum, disposable, tray, pan",""
"silicone-bakeware","Silicone Bakeware","cooking","no","no","Silicone is not metal or glass. No tevila required.","","silicone, bake",""
"double-boiler","Double Boiler","cooking","varies","varies","The food pot (top) requires tevila with a brocha. The water pot (bottom) — if never used directly for food, no tevila; if sometimes used for food, tevila with a brocha.","","double boiler, pot",""
"cutlery-metal","Cutlery: Forks / Knives / Spoons (metal)","tableware","yes","yes","Knife used only for arts/crafts → no tevila.","","fork, knife, spoon, cutlery, silverware, flatware",""
"corelle-plate","Corelle Plate / Bowl","tableware","yes","yes","Corelle is halachically classified as glass. Tevila with a brocha.","","corelle, plate, bowl, dish",""
"china-glazed","China (glazed) / Bone China / Fine Porcelain","tableware","yes","no","Glazed china and bone china → tevila without a brocha.","Ashkenazi poskim generally require tevila without a brocha for glazed china. Sephardi poskim (based on Shulchan Aruch) may hold porcelain does not require tevila at all.","china, porcelain, bone china, dish, plate",""
"glasses-drinking","Drinking Glasses (glass or metal)","tableware","yes","yes","","","glass, cup, drink",""
"cup-mug","Cup / Mug","tableware","varies","varies","Metal or glass → tevila with a brocha. Glazed ceramic → tevila without a brocha. Plastic → no tevila.","","cup, mug, coffee, tea",""
"dishes-general","Dishes (general)","tableware","varies","varies","Metal or glass → with a brocha. Glazed ceramic → without a brocha. Plastic, wood → no tevila.","","dish, plate, bowl",""
"kiddush-cup-metal","Kiddush Cup (metal or glass)","tableware","yes","yes","Does not require tevila if manufactured in Eretz Yisrael by Jews. Requires tevila if manufactured outside Israel or sold through non-Jewish distributors.","STAR-K: Does not require tevila if manufactured in Israel but does require tevila if sold in Israel and manufactured elsewhere. If uncertain about the manufacturer, tevila without a brocha.","kiddush, cup, wine, shabbos",""
"kos-shel-eliyahu","Kos Shel Eliyahu (Elijah's Cup)","tableware","yes","no","Should be immersed without a brocha.","Halachipedia: One should immerse the Kos Shel Eliyahu used for the Seder night without a beracha.","eliyahu, seder, pesach, cup",""
"seder-plate","Seder Plate","tableware","varies","varies","If food directly touches the plate (metal/glass) → tevila required. If food sits in separate cups/holders and doesn't touch the plate → no tevila.","","seder, pesach, plate",""
"cake-plate","Cake Plate / Tray (metal or glass)","tableware","yes","yes","Plate requires tevila with a brocha even if cake is placed on a doily (the doily is considered negligible). Cake plate cover → no tevila.","","cake, plate, tray, serving",""
"serving-tray-metal","Serving Tray (metal)","tableware","yes","yes","","","serving, tray",""
"challah-board","Challah Board","tableware","varies","varies","Metal board or glass-top on wood → tevila with a brocha. Plain wood or plastic → no tevila.","","challah, bread, board, shabbos",""
"sugar-bowl","Sugar Bowl (metal or glass)","tableware","yes","varies","If brought to the table → tevila with a brocha. If used only to store sugar and not brought to the table → tevila without a brocha.","","sugar, bowl",""
"salt-shaker","Salt / Pepper Shaker (metal or glass)","tableware","yes","yes","Metal or glass salt cellar/shaker brought to the table requires tevila with a brocha. Metal cap on a plastic body → tevila without a brocha.","","salt, pepper, shaker, cellar",""
"candy-dish","Candy Dish (metal or glass)","tableware","varies","varies","If food contacts the dish → tevila required; the brocha depends on material. If food never contacts the dish → no tevila.","","candy, dish",""
"plastic-utensil","Plastic Utensils / Dishes","tableware","no","no","Common custom is that plastic does not require tevila.","Some authorities argue that similarities between glass and plastic should require tevila. The widespread minhag, however, is to exempt plastic entirely. Some are machmir to tovel without a brocha.","plastic, disposable",""
"cutting-board-metal-glass","Cutting Board (metal or glass)","tableware","yes","yes","Plastic or wood cutting board → no tevila (though some who are strict tovel without a brocha will be blessed).","","cutting, board",""
"peeler","Peeler (metal blade)","food-prep","yes","varies","If used with meal-ready food (e.g., carrots, apples) → tevila with a brocha. If used only with food that requires further cooking (e.g., potatoes only) → tevila without a brocha. Even if handle is plastic, the metal blade determines the requirement.","CRC: With a brocha if sometimes used for meal-ready food; without a brocha if only for foods requiring further cooking.","peeler, peel",""
"grater-metal","Grater (metal)","food-prep","yes","varies","If used for ready-to-eat foods (cheese, vegetables) → tevila with a brocha. If only for foods needing further cooking → without a brocha.","","grater, cheese, grate",""
"apple-corer-metal","Apple Corer (metal)","food-prep","yes","yes","","","apple, corer",""
"cheese-slicer-metal","Cheese Slicer (metal)","food-prep","yes","yes","","","cheese, slicer",""
"egg-slicer-metal","Egg Slicer (metal)","food-prep","yes","yes","","","egg, slicer",""
"melon-baller-metal","Melon Baller (metal)","food-prep","yes","yes","","","melon, baller",""
"ice-cream-scooper","Ice Cream Scooper (metal)","food-prep","yes","yes","","","ice cream, scooper",""
"pizza-cutter","Pizza Cutter (metal)","food-prep","yes","yes","","","pizza, cutter",""
"cookie-cutter","Cookie Cutter (metal)","food-prep","varies","varies","If used only with raw, inedible dough → no tevila. If sometimes used to cut ready-to-eat food → tevila without a brocha.","STAR-K (Shach YD 120:11): No tevila if only used with food that is not edible. CRC: Tevila required, without a brocha. The Taz 120:7 disagrees with the Shach; STAR-K follows the Chochmas Adam 73:9 who paskens like the Shach.","cookie, cutter, dough",""
"scissors-shears","Scissors / Shears (kitchen, metal)","food-prep","yes","varies","If used to cut edible/ready-to-eat food → tevila with a brocha. If used only for raw food (e.g., cutting raw meat) → tevila without a brocha.","","scissors, shears, cut",""
"ladle-metal","Ladle (metal)","food-prep","yes","yes","","","ladle, soup, serve",""
"skewer-metal","Skewer (metal)","food-prep","yes","yes","Wood or bamboo skewers → no tevila.","","skewer, kebab",""
"corn-skewers","Corn Skewers / Holders (metal prongs)","food-prep","yes","yes","","","corn, holder, skewer",""
"sieve-metal","Sieve / Strainer (metal)","food-prep","yes","yes","","","sieve, strainer",""
"measuring-cup-glass","Measuring Cup (glass or metal)","food-prep","yes","yes","Metal or glass measuring cup requires tevila with a brocha. Plastic measuring cup → no tevila.","","measuring, cup",""
"measuring-spoon-metal","Measuring Spoon (metal)","food-prep","yes","no","Tevila without a brocha.","STAR-K (Sefer Tevilas Keilim 11:77): Tevila without a brocha. This may be because it is typically used for measuring raw ingredients rather than serving edible food.","measuring, spoon",""
"mixing-bowl-metal","Mixing Bowl (metal)","food-prep","yes","yes","","","bowl, mixing",""
"meat-grinder","Meat Grinder (metal attachments)","food-prep","yes","varies","If used only for raw meat → tevila without a brocha. If also used for cooked/ready-to-eat food → tevila with a brocha.","","grinder, meat",""
"ceramic-knife","Ceramic Knife","food-prep","varies","no","Tevila without a brocha according to most poskim. Some hold ceramic knives require no tevila at all.","STAR-K: Tevila without a brocha. Some poskim hold ceramics don't require tevila since they are neither metal nor glass.","ceramic, knife",""
"nutcracker","Nutcracker (metal)","food-prep","yes","varies","If used for nuts brought to the table in their shells → tevila with a brocha. If used for nuts not brought to the table in shells → tevila without a brocha.","","nut, cracker",""
"peppermill","Peppermill","food-prep","yes","no","Tevila without a brocha.","","pepper, mill, grinder",""
"meat-tenderizer-hammer","Meat Tenderizer (metal hammer)","food-prep","yes","no","A wooden hammer with metal on the bottom used for beating meat. Tevila without a brocha, since it is used in the initial stages of food preparation.","","tenderizer, hammer, meat",""
